NOMBRE,MUNICIPIO,DEPARTAMENTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
Nueva Florida,Maria La Baja,Bolivar,8.009716807901036,7.2466968012427175,6.052612471495258,5.3380176417933525,4.472494787937188,4.727317513146019,5.412631465739688,5.056916097852834,4.192096765197,4.206663642655807,4.871467332375613,6.8103037939228805,5.5330779267716155
Presa Ay Grande,Maria La Baja,Bolivar,7.320205456283256,6.636724650450066,5.678052676706345,5.102195418885073,4.472978647644943,4.678128703872638,5.321680820106161,5.075888003719594,4.27475923353962,4.287651256908326,4.979962354285748,6.333865635754678,5.346841071513037
San Pablo,Maria La Baja,Bolivar,8.34627523880149,7.753414541771262,6.474447525785882,5.76954328516555,4.928633009492394,5.502838083509266,6.140076062768737,5.760337270470792,4.734282179916415,4.666348461303429,5.354040793111571,7.175690917598037,6.050493947474568
Galerazamba,Santa Catalina,Bolivar,7.555720440774877,6.901514443840028,6.064639359751151,5.958383166866939,5.846726051818164,5.880742087955703,6.234237266167982,6.426629541967638,5.716650101259902,5.418651873557964,6.17809575663779,6.89028204287833,6.256022677789705
Canelos,Santa Rosa del Sur,Bolivar,5.949569343165932,5.185409088791261,3.6856695613193575,2.848910323865624,3.55172412248177,3.8989828101822104,5.292270965592472,5.12351246246338,3.9276600409068654,3.602550043866458,3.9141064134531556,5.027701007631597,4.3340055153100066
Sta Rosa D Simiti,Santa Rosa del Sur,Bolivar,7.995817699347389,6.929868685353598,5.298889194744007,4.123079380747863,4.399851546345332,5.29681466043535,6.4942484886194105,6.110242870354642,4.857251327513028,4.198883508034769,4.890340351122612,6.683778272154246,5.606588832064354
Monterrey Forestal,Zambrano,Bolivar,8.630799917287014,8.175872787812441,7.045407860585837,6.3038494063407855,5.464225958067067,6.466254561530424,6.805392524049921,6.872345824364736,5.76931977067022,5.57735144312394,6.219583652618136,7.337388816792321,6.722316043603571
Boavita,Boavita,Boyaca,7.765685483870969,7.03274365421456,6.02363962202672,4.747963362068964,4.32487567204301,4.738587319243605,5.184203629032259,5.10350482017056,4.8907367974998674,4.99468295451072,5.656975581333758,6.820901509442988,5.607041700454832
Buenavista,Buenavista,Boyaca,3.020324169712379,2.5938379129650677,1.998444967144564,1.3617673063920526,1.7014687634261467,2.1868579997001047,2.5898297458853463,2.3298463901689708,2.2410021893814993,2.486419381096801,2.3067173938540932,2.4641747620813255,2.273390915150696
Chiscas,Chiscas,Boyaca,7.894634286939191,7.069269714959373,5.974422211973069,4.8751089075997704,4.555982233897454,4.281647397755296,5.041481715040288,5.012553950473701,4.74654118151963,4.936124039642825,5.610248711167133,7.057402244487749,5.587951382954624
Chita,Chita,Boyaca,7.892259907036721,7.120456537358167,5.7861857107135615,4.168815107692603,3.6617662203838885,3.5288660006660004,3.4446878742540252,3.657080041549983,4.210963083509266,4.376114442161737,5.0977271766415635,7.030954638220592,4.997989728349008
Tunel El,Cuitiva,Boyaca,7.780857670735311,6.495405081272257,5.421657971491786,4.423169434925593,4.500817791390119,4.285256583418886,4.5487563788647325,4.180448536477994,4.351959087929715,4.742800056711652,5.194756277468479,6.878240984533532,5.233677154601671
Sierra La,Duitama,Boyaca,4.8512281478734955,4.406600245264929,3.423744025678495,2.530658252160927,2.731501412808612,3.3543604552403603,3.751614885288142,3.9017926164760643,3.5986971355592043,2.9037537122375827,3.0772533177855523,3.953309313085393,3.540376126621563
Surbata Bonza,Duitama,Boyaca,6.774408779405965,5.843074548713728,5.086923298263502,4.296811176711065,4.228949848696881,4.461440772669221,4.884508409917545,4.683528814231208,4.29082287197415,4.208809375586873,5.1910591204273855,6.306561444543677,5.0214082050951
Sierra Nevad Cocuy,Guican,Boyaca,7.084341046190404,6.462612742721056,5.275354229185797,3.5820931052749256,3.1062880855224457,3.8863030348097096,4.696844890527636,4.464170882805787,3.7115345984341817,3.4335707495085614,4.281318801975757,5.978597337308479,4.6635857920220625
Inst Agr Macanal,Macanal,Boyaca,5.927159807193177,5.106850039949921,3.8519385616794874,3.155864902282752,3.1100478761068895,2.7288712522045846,2.761441039213429,2.9650892153759325,3.989761904761905,4.55045015793983,4.831548893041163,5.644580802030748,4.051967037648319
Bertha,Moniquira,Boyaca,5.675978494623655,5.762459113300492,4.930250648869113,4.197034482758621,3.8735483870967746,4.664,4.883994198346747,4.813443332097392,4.7241880341880345,4.73010752688172,5.081685823754789,5.352759856630825,4.89078749154568
Belencito,Nobsa,Boyaca,6.679090212915387,5.809190525617286,4.766119615135557,3.71328585179707,3.901380253992506,4.259387489612625,4.730999732314219,4.44660680740339,3.9872767199841723,3.7550894110149193,4.636938799111888,5.929578286801788,4.717911975475068
